latitude,longitude,bright_ti4,acq_date,,,
-34.45902,150.8804,326.5,1,,,
-31.70724,151.07191,367,1,,,
-31.39626,149.65253,325.2,1,,,
-30.39774,152.06432,347.8,1,,,
-31.20248,151.89766,350.7,1,,,
-31.2039,151.89574,353.3,1,,,
-31.3728,150.689,327.5,1,,,
-30.08108,151.05177,367,1,,,
-31.78818,148.49576,367,1,,,
-31.78719,148.49466,367,1,,,
-42.71249,147.58301,326.5,1,,,
-42.37209,147.48753,330,1,,,
-42.36105,146.92848,327.4,1,,,
-42.29099,146.88106,340.9,1,,,
-41.00097,145.63232,327.1,1,,,
-36.57822,145.84651,328,1,,,
-37.0943,147.5002,341.3,1,,,
-34.91529,149.82462,325.9,1,,,
-34.46161,150.88301,325.7,1,,,
-36.34436,149.50899,344.2,1,,,
-33.54812,147.80945,338.8,1,,,
-34.4189,147.44533,330,1,,,
-34.14386,147.76584,343,1,,,
-33.77158,148.4593,334.9,1,,,
-31.79152,148.49356,336.3,1,,,
-31.69685,147.76181,337.6,1,,,
-32.80127,149.35976,338.4,1,,,
-31.7902,148.4994,343.2,1,,,
-33.09182,147.10495,336.6,1,,,
-34.41789,147.45003,336.6,1,,,
-32.52756,147.75531,341.4,1,,,
-31.58608,147.08157,338.6,1,,,
-32.71254,147.02559,352,1,,,
-31.20573,151.90051,335.8,1,,,
-31.20132,151.89873,330.2,1,,,
-32.98625,146.45729,331,1,,,
-32.98126,146.46045,335.6,1,,,
-32.98216,146.45612,342.5,1,,,
-32.21312,146.73384,332.5,1,,,
-32.2079,146.73732,338.9,1,,,
-32.20889,146.73271,349.7,1,,,
-32.21084,146.73534,353,1,,,
-32.20661,146.73418,346.4,1,,,
-31.20699,151.90068,327.9,1,,,
-31.47886,148.79022,335.1,1,,,
-31.39579,149.65799,367,1,,,
-31.39666,149.65436,336.5,1,,,
-34.1545,140.20551,333.3,1,,,
-31.40167,149.65598,336.5,1,,,
-30.85534,150.71831,327.2,1,,,
-30.85515,150.71532,325.9,1,,,
-33.96225,142.63521,335.1,1,,,
-31.3715,150.68877,367,1,,,
-31.70958,151.07678,340,1,,,
-31.70424,151.07483,325.1,1,,,
-31.70528,151.07066,343.2,1,,,
-31.71063,151.07259,367,1,,,
-29.89272,150.08894,343.7,1,,,
-29.89181,150.09271,336.6,1,,,
-29.83045,149.84335,328.2,1,,,
-29.8874,150.08727,329.8,1,,,
-29.50987,148.56064,339.6,1,,,
-30.41304,148.56061,335.2,1,,,
-30.93985,147.71022,343.5,1,,,
-27.78445,148.54945,348,1,,,
-27.78364,148.55293,354.8,1,,,
-30.8893,147.68613,337.7,1,,,
-30.89386,147.68745,340.2,1,,,
-30.93528,147.70889,341,1,,,
-28.42011,148.99669,353.2,1,,,
-29.08234,148.48544,353.6,1,,,
-28.79721,148.16267,343,1,,,
-28.41492,148.99518,340.6,1,,,
-28.41911,148.99454,367,1,,,
-28.41826,148.99811,340.7,1,,,
-28.77446,148.37094,330.7,1,,,
-28.42093,148.9931,352.3,1,,,
-29.07214,148.51381,337.3,1,,,
-29.0792,148.4827,343.3,1,,,
-28.77198,148.36743,330,1,,,
-27.09369,146.09976,347.6,1,,,
-27.09404,146.10168,354.3,1,,,
-27.08952,146.10051,339.1,1,,,
-24.65923,151.38533,336.5,1,,,
-24.65783,151.38831,335.8,1,,,
-26.14668,129.34729,343.1,1,,,
-23.65643,145.31613,335.9,1,,,
-26.07135,129.4015,332.2,1,,,
-26.05538,129.41197,330.2,1,,,
-26.05043,129.41141,343.3,1,,,
-26.0545,129.41046,343.7,1,,,
-26.04956,129.40988,334.1,1,,,
-26.14806,129.11823,340.9,1,,,
-26.14649,129.34741,342.4,1,,,
-20.5976,146.41519,337.2,1,,,
-20.65123,146.95094,329.8,1,,,
-19.43557,146.52435,367,1,,,
-19.49277,146.52255,325.9,1,,,
-19.48497,146.47878,339.4,1,,,
-19.43936,146.53322,328.1,1,,,
-19.48203,146.5466,334.7,1,,,
-19.43393,146.53204,340,1,,,
-19.43474,146.52826,354.9,1,,,
-19.43641,146.52045,350.1,1,,,
-19.47347,146.50641,367,1,,,
-19.47269,146.5101,331.4,1,,,
-19.45726,146.50255,331.7,1,,,
-19.44569,146.5036,326.8,1,,,
-19.49338,146.52377,337.1,1,,,
-19.48244,146.54788,333.6,1,,,
-19.49202,146.52611,333,1,,,
-19.44244,146.54549,335.2,1,,,
-19.44792,146.54651,346.8,1,,,
-19.43698,146.54437,356.9,1,,,
-19.48107,146.47046,355.3,1,,,
-19.43857,146.53696,343.3,1,,,
-19.45967,146.54472,326.7,1,,,
-18.6139,145.71823,325.3,1,,,
-19.43092,146.5195,353.7,1,,,
-19.73958,147.17975,367,1,,,
-19.41927,146.52081,348.2,1,,,
-19.73397,147.17842,367,1,,,
-19.41304,146.5233,327.7,1,,,
-19.41465,146.51585,335,1,,,
-19.40081,146.50095,330.7,1,,,
-19.40023,146.50282,336.5,1,,,
-20.73723,139.47871,334.5,1,,,
-20.7351,139.47429,331,1,,,
-20.73371,139.47806,331.8,1,,,
-20.73439,139.47856,334,1,,,
-22.265,124.89222,367,1,,,
-22.26542,124.88699,367,1,,,
-22.26334,124.91321,343.6,1,,,
-22.26376,124.90797,331.5,1,,,
-22.26417,124.90273,349.5,1,,,
-22.26459,124.89747,351.8,1,,,
-22.26583,124.88174,353.1,1,,,
-22.2579,124.90217,337.4,1,,,
-22.25831,124.89692,336.3,1,,,
-22.25873,124.89169,355.4,1,,,
-22.9521,128.09956,337.3,1,,,
-22.93831,128.18799,330.9,1,,,
-22.938,128.19125,367,1,,,
-22.93736,128.19777,333.7,1,,,
-22.93768,128.19452,354.3,1,,,
-20.59419,146.41304,336.5,1,,,
-15.71779,143.23705,335.5,1,,,
-15.71509,143.22568,367,1,,,
-15.71408,143.23085,333.6,1,,,
-15.71845,143.23355,335.2,1,,,
-15.71373,143.23254,333.5,1,,,
-15.7147,143.22734,349.3,1,,,
-15.71567,143.22214,335.4,1,,,
-15.7646,137.08395,351.6,1,,,
-15.7652,137.08018,356.3,1,,,
-16.13048,136.69354,338.8,1,,,
-16.11335,136.64925,367,1,,,
-16.11786,136.64249,339.3,1,,,
-16.11728,136.64615,350.1,1,,,
-16.1167,136.64981,344.4,1,,,
-16.20284,136.64912,349.9,1,,,
-16.11613,136.65347,351.2,1,,,
-16.11555,136.65714,346.9,1,,,
-16.12179,136.63939,346,1,,,
-16.12121,136.64304,339.8,1,,,
-16.1189,136.6577,351.9,1,,,
-14.80372,144.62799,325.8,1,,,
-16.12514,136.63994,354.5,1,,,
-16.12457,136.64359,341.9,1,,,
-16.12849,136.64049,356.5,1,,,
-16.13185,136.64105,367,1,,,
-16.13127,136.64471,352,1,,,
-16.12723,136.67039,352.4,1,,,
-16.13463,136.64526,345,1,,,
-15.76579,137.07645,346.6,1,,,
-16.1145,136.64192,349.4,1,,,
-16.11508,136.63824,343.4,1,,,
-16.11566,136.6346,336.6,1,,,
-15.76639,137.07272,330.9,1,,,
-15.76699,137.06897,340.6,1,,,
-15.76181,137.07964,349.4,1,,,
-15.7624,137.07588,351.2,1,,,
-15.763,137.07214,338.8,1,,,
-15.76359,137.06841,352.7,1,,,
-15.76419,137.06464,348.7,1,,,
-16.16539,136.64664,344,1,,,
-16.15465,136.6712,352.1,1,,,
-16.16662,136.74864,335.5,1,,,
-16.16326,136.74808,341.4,1,,,
